scenario,description,customers,days,configured_fraud_rate,analyst_capacity_per_day,transactions,fraud_count,fraud_rate,alerts_sent_to_analyst,analyst_reviewed,review_overflow,precision_flagged,recall_flagged,false_positive_rate,fraud_loss_prevented,fraud_loss_realized,false_positive_cost,analyst_cost,net_benefit,run_dir
low_fraud,Low fraud environment calibrated near very rare fraud datasets.,1000,30,0.0015,100,28042.0,47.0,0.001676,867.0,867.0,0.0,0.0208,0.383,0.0303,10718.79,3049.17,5981.24,2835.38,-1147.0,D:\Đề án\FinRisk-Decision-Simulation\data\simulation_runs\low_fraud_20260721_093743
baseline,Reference environment for policy comparison.,1000,30,0.01,100,27720.0,295.0,0.010642,884.0,884.0,0.0,0.1233,0.3695,0.0283,79815.84,19008.27,5677.89,2896.08,52233.6,D:\Đề án\FinRisk-Decision-Simulation\data\simulation_runs\baseline_20260721_094112
stress_fraud,Stress scenario with elevated fraud pressure.,1000,30,0.03,100,28333.0,857.0,0.030247,1027.0,1027.0,0.0,0.3009,0.3606,0.0261,247481.21,52692.78,5494.2,3494.7,185799.53,D:\Đề án\FinRisk-Decision-Simulation\data\simulation_runs\stress_fraud_20260721_094457
low_capacity,Same generated environment as baseline but analyst capacity is strongly constrained.,1000,30,0.01,20,27720.0,295.0,0.010642,884.0,595.0,289.0,0.1233,0.3695,0.0283,67373.77,35597.67,5677.89,2093.25,24004.96,D:\Đề án\FinRisk-Decision-Simulation\data\simulation_runs\low_capacity_20260721_100124
high_capacity,Same generated environment as baseline with higher analyst capacity.,1000,30,0.01,200,27720.0,295.0,0.010642,884.0,884.0,0.0,0.1233,0.3695,0.0283,79815.84,19008.27,5677.89,2896.08,52233.6,D:\Đề án\FinRisk-Decision-Simulation\data\simulation_runs\high_capacity_20260721_100541
